视频名称                                          真实类别           预测类别          匹配
-----------------------------------------------------------------------------
01_Event_129_1751331501641_1                  1              1,2,11        ✗ 
02-05_Event_129_1753323159824_1               2,5            2,5,10        ✗ 
05-07-10_Event_66_1755852049227_1             5,7,10         1,5           ✗ 
02-04-06_Event_1024_1751188145098_1           2,4,6          2,4,6,11      ✗ 
02-10-11_Event_129_1752569746126_1            2,10,11        1,10,11       ✗ 
01-07-08_Event_257_1752171861431_1            1,7,8          7,8           ✗ 
02-05-06-11_Event_1024_1746059485144_1        2,5,6,11       2,5,6         ✗ 
10-11_Event_512_1752879856708_1               10,11          10            ✗ 
04-05-07-10_Event_2048_1754114303817_1        4,5,7,10       4,5,7         ✗ 
01-07_Event_129_1755743160754_1               1,7            1,7,10        ✗ 
02-04-10_Event_2048_1750214006955_1           2,4,10         2,4,11        ✗ 
01-02-04-06-07_Event_2048_1750990542115_1     1,2,4,6,7      1,2,4,6,7,11  ✗ 
11_Event_129_1751351935514_1                  11             6             ✗ 
01-04-05_Event_129_1753227278944_1            1,4,5          1,4,11        ✗ 
10_Event_512_1749788648825_1                  10             5,10          ✗ 
01-04-07-10_Event_2048_1750979604073_1        1,4,7,10       1,4,7,11      ✗ 
02-08-10_Event_129_1754261560583_1            2,8,10         1,10          ✗ 
01-04-05-11_Event_2048_1751850713931_1        1,4,5,11       1,4,5         ✗ 
02-04-07-08-10_Event_2048_1755738918846_1     2,4,7,8,10     1,2,3,4,7,10  ✗ 
02-06-10-11_Event_1024_1748848582047_1        2,6,10,11      2,6,10        ✗ 
02-04-05-10_Event_129_1753069337766_1         2,4,5,10       2,4,5,10,11   ✗ 
02-06-11_Event_1024_1746056984665_1           2,6,11         2,6           ✗ 
02-06-10-11_Event_8192_1746008574293_1        2,6,10,11      2,6,11        ✗ 
05_Event_512_1751594758561_1                  5              5,10          ✗ 
01-02-04-07-10_Event_129_1755916555824_1      1,2,4,7,10     1,4,7,10      ✗ 
11_Event_129_1751436725749_1                  11             9             ✗ 
01-04-07-08-10_Event_129_1755327047828_1      1,4,7,8,10     1,4,7,8       ✗ 
05-10-11_Event_512_1752728615725_1            5,10,11        5,10          ✗ 
02-06-11_Event_8192_1746029060540_1           2,6,11         2,11          ✗ 
01-04-07_Event_129_1751331517636_1            1,4,7          1,4,7,11      ✗ 
02-06-11_Event_1024_1751185056925_1           2,6,11         2,6           ✗ 
02-04-06-11_Event_1024_1751187496253_1        2,4,6,11       2,4,6         ✗ 
01-04-05-07_Event_129_1755914589216_1         1,4,5,7        1,4,7         ✗ 
02-06-11_Event_1024_1751187926110_1           2,6,11         2,6           ✗ 
05_Event_66_1755827431143_1                   5              5,11          ✗ 
02-06-11_Event_1024_1752142411314_1           2,6,11         2,6           ✗ 
07-08_Event_129_1755932324549_1               7,8            1,4,7,8,10    ✗ 
02-04-11_Event_129_1749205813131_1            2,4,11         2,4,5,6       ✗ 
02-07-08-10_Event_257_1754849599570_1         2,7,8,10       2,8,10        ✗ 
05-10_Event_2048_1754604350923_1              5,10           5,7,10        ✗ 
09_Event_512_1751873684000_1                  9              5,10          ✗ 
01-04-07_Event_129_1750975897827_1            1,4,7          1,4,7,8       ✗ 
01-05-07-10-11_Event_512_1756141134512_1      1,5,7,10,11    1,5,7,10      ✗ 
02-05-07-10_Event_65536_1752682211129_1       2,5,7,10       7             ✗ 
01-04-07-08_Event_129_1755739177364_1         1,4,7,8        1,4,7         ✗ 
02-06_Event_1024_1746073331260_1              2,6            2,6,11        ✗ 
01-04-07_Event_1024_1750977813105_1           1,4,7          1,4,7,8       ✗ 
02-07-08_Event_65536_1756191206757_1          2,7,8          2,7           ✗ 
02-11_Event_129_1750117655291_1               2,11           2,4,11        ✗ 
04-05-08_Event_129_1755745515920_1            4,5,8          1,4,5,7,8     ✗ 
05-10_Event_66_1752289318303_1                5,10           5             ✗ 
02-06-11_Event_1024_1746025274046_1           2,6,11         2,6           ✗ 
02-06_Event_129_1751626974555_1               2,6            2,6,11        ✗ 
01-07-08_Event_2048_1750976222003_1           1,7,8          1,4,7,8       ✗ 
02-03-04-06-07_Event_65536_1748834857312_1    2,3,4,6,7      1,2,3,4,6,7   ✗ 
10_Event_512_1753926162955_1                  10             1,10          ✗ 
01-04-07-08_Event_129_1755922352135_1         1,4,7,8        1,4,7         ✗ 
02-06_Event_129_1752228372051_1               2,6            2,6,11        ✗ 
01-04-07_Event_2048_1751219034146_1           1,4,7          1,4,7,8       ✗ 
09_Event_512_1752562156775_1                  9              10            ✗ 
01-07-08_Event_2048_1750976262008_1           1,7,8          1,4,7,8       ✗ 
01-02_Event_129_1754746432685_1               1,2            9             ✗ 
11_Event_257_1752395202924_1                  11             9             ✗ 
02-05-11_Event_129_1754718687697_1            2,5,11         2,5           ✗ 
02-06_Event_1024_1748603576100_1              2,6            2,4,6         ✗ 
09_Event_512_1756184392586_1                  9              5             ✗ 
05-10_Event_66_1752103917982_1                5,10           5             ✗ 
02-04-06_Event_1024_1748910342376_1           2,4,6          2,6           ✗ 
